EMPLOYEEID,EMPLOYEEACCESS,Name,ACCESS,EMAIL,EmployeeGender,EmployeeDept,EmployeeBusinessUnit,EmployeeJobTitle,EMPLOYEEREGION,EmployeeCountry,EmployeeState,EmployeeCity,EmployeeJobClass,EmployeeManager,EmployeeEmploymentType,BAND,PERFRATING,EmployeeEthnicity,DOB,HIREDATE,DPDate,EmployeeActiveFlag,RECRUIT,SALARY,TOTALCOMP,OMITGROUP
12,12,Umberto Colombo,USER,Umberto. Colombo@bnna.com,Male,Finance,Corporate Finance,Financial Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,White,20010,30602,41925,Y,Internal,45221,1795,Finance
13,13,Balthasar Alvarez,USER,Balthasar.ar Alvarez@bnna.com,Female,Finance,Corporate Finance,Financial Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Black or African American,19595,35666,41875,Y,None,35682,767,Finance
14,14,Andre Marc,USER,Andre.e Marc@bnna.com,-,Finance,Corporate Finance,Financial Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,Other,19976,35682,41891,Y,None,51210,3088,Finance
15,15,Mario Esposito,USER,Mario.posito@bnna.com,Male,Finance,Corporate Finance,Financial Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Unknown,27456,39144,41701,Y,None,53829,1491,Finance
16,16,Olympia Moore,USER,Olympia.ia Moore@bnna.com,Female,Finance,Corporate Finance,Financial Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,23699,33560,41961,Y,Website,45980,2965,Finance
17,17,Chantal Faillard,USER,Chantal.Faillard@bnna.com,Female,Finance,Corporate Finance,Budget Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,19950,36386,41865,Y,Website,47695,957,Finance
18,18,Kyle Serrano,USER,Kyle.rrano@bnna.com,Male,Finance,Corporate Finance,Budget Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,D,Unknown,22179,35693,41902,Y,Internal,57505,2226,Finance
19,19,Alexandra Klauser,USER,Alexandra.ra Klauser@bnna.com,Female,Finance,Corporate Finance,Reporting Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,White,21862,38664,41951,Y,New Hire Program,47162,2503,Finance
20,20,Philip Fields,USER,Philip. Fields@bnna.com,Male,Finance,Corporate Finance,Reporting Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,White,19571,31624,41851,Y,New Hire Program,61434,484,Finance
21,21,Lorraine Lambert,USER,Lorraine.e Lambert@bnna.com,Female,Finance,Corporate Finance,Financial Reporting,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,21405,32363,41859,Y,Website,35609,2452,Finance
22,22,Lorelei Wouters,USER,Lorelei. Wouters@bnna.com,Male,Finance,Corporate Finance,Budget Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Black or African American,20596,34475,41780,Y,Website,36082,1451,Finance
23,23,Giacomo Buckley,USER,Giacomo. Buckley@bnna.com,Male,Finance,Corporate Finance,Financial Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Unknown,24468,38348,42000,Y,Internal,42925,1380,Finance
24,24,Matt Ohmny,USER,Matt.Ohmny@bnna.com,Male,Finance,Corporate Finance,Financial Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Hispanic or Latino,21007,35617,41826,Y,New Hire Program,27686,0,Finance
25,25,Wulong Liáng,USER,Wulong.g Liáng@bnna.com,Male,Finance,Accounting,"VP, Controller",AMERICAS,USA,NY,New York,Senior Manager,Y,FTE,9,B,White,25187,35414,41988,Y,New Hire Program,324884,78561,Finance
26,26,Serilda Marc,USER,Serilda.lda Marc@bnna.com,Female,Finance,Accounting,"Director, Consolidation",AMERICAS,USA,NY,New York,Manager,Y,FTE,8,A,White,22385,39552,41743,Y,College Hire,127145,15793,Finance
27,27,Driscoll Whitley,USER,Driscoll.l Whitley@bnna.com,Male,Finance,Accounting,"Manager, Statuatory Reporting",AMERICAS,USA,NY,New York,Manager,Y,FTE,5,B,Unknown,19753,35824,41668,Y,Recruiter,125477,10603,Finance
28,28,Basmus Gripenskiöld,USER,Basmus.nskiöld@bnna.com,Male,Finance,Accounting,"Manager, Tax and Compliance",AMERICAS,USA,NY,New York,Manager,Y,FTE,6,C,White,32128,41625,41990,Y,Recruiter,108971,19619,Finance
29,29,Katja Willborn,USER,Katja.llborn@bnna.com,Male,Finance,Accounting,Tax and Compliance,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,A,Other,25675,33345,41746,Y,Linkedin,65630,6841,Finance
30,30,Leilani Kelley,USER,Leilani.i Kelley@bnna.com,Female,Finance,Accounting,Assistant,AMERICAS,USA,NY,New York,Contributor,N,PTE,1,B,White,26146,39661,41852,Y,College Hire,38100,0,Finance
31,31,Veronica Hanes,USER,Veronica.ica Hanes@bnna.com,Female,Finance,Accounting,Accountant,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Black or African American,27392,40541,42002,Y,College Hire,63936,269,Finance
32,32,Baltje Cloet,USER,Baltje.e Cloet@bnna.com,Male,Finance,Accounting,Accountant,EMEA,UK,England,London,Contributor,N,FTE,3,C,Asian,26646,39429,41986,N,College Hire,55501,2567,Finance
33,33,Axel Daugherty,USER,Axel.herty@bnna.com,Male,Finance,Accounting,Tax Analyst,APAC,Australia,New South Wales,Sydney,Contributor,N,PTE,2,C,Other,20638,35613,41822,Y,College Hire,23932,0,Finance
34,34,Uwe Lehr,USER,Uwe.Lehr@bnna.com,-,Finance,Accounting,Accountant,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,C,White,21978,39144,41701,Y,College Hire,26804,0,Finance
35,35,Nathaniel Mckinney,USER,Nathaniel.l Mckinney@bnna.com,Male,Finance,Legal,General Council,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,A,Black or African American,21619,28559,41708,Y,Linkedin,84271,3406,Finance
36,36,Albrecht Lehrer,USER,Albrecht.ht Lehrer@bnna.com,Female,Finance,Legal,Lawyer,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Other,22805,35589,41798,Y,Internal,34014,0,Finance
37,37,Kerstin Lagerskiöld,USER,Kerstin.erskiöld@bnna.com,Male,Finance,Legal,Lawyer,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,A,White,23012,40179,41640,Y,Website,23630,0,Finance
38,38,Curran Webb,USER,Curran.an Webb@bnna.com,Male,Finance,Legal,Lawyer,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,D,Hispanic or Latino,24479,36167,41646,Y,Internal,21565,0,Finance
39,39,Eagan Whitley,USER,Eagan.hitley@bnna.com,Male,Finance,Legal,Paralegal,APAC,Australia,New South Wales,Sydney,Contributor,N,PTE,2,A,White,19979,36781,41894,Y,Website,12050,0,Finance
40,40,Hu Holmes,USER,Hu.mes@bnna.com,Male,Finance,Legal,Contracts,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Hispanic or Latino,21143,36483,41962,Y,Job Fair,39066,0,Finance
41,41,Ferris Farley,USER,Ferris. Farley@bnna.com,Male,Finance,Legal,Contracts,EMEA,UK,England,London,Contributor,N,PTE,2,C,Other,19145,36311,41790,Y,Job Fair,18392,0,Finance
42,42,Elmo Ramsey,USER,Elmo.amsey@bnna.com,Male,Finance,Legal,Contracts,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Unknown,30281,41239,41969,Y,Job Fair,28201,0,Finance
43,43,Caprice Mancini,USER,Caprice. Mancini@bnna.com,Male,Finance,Accounting,Tax and Compliance,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Black or African American,19806,36242,41721,Y,Job Fair,18292,0,Finance
44,44,Dan Jones,USER,Dan.ones@bnna.com,Male,Finance,Accounting,Accountant,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,19607,26912,41887,Y,Internal,33387,0,Finance
45,45,Lee Avila,USER,Lee.vila@bnna.com,Male,Finance,Corporate Finance,Budget Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,D,White,31247,41474,41839,Y,Internal,41577,2405,Finance
46,46,Luc Stalars,USER,Luc.lars@bnna.com,Male,Finance,Accounting,Accounting Clerk,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,Black or African American,24165,39871,41697,Y,Internal,36838,435,Finance
47,47,Aron Adelsvärd,USER,Aron.svärd@bnna.com,Male,Finance,Accounting,Accountant,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,Hispanic or Latino,23305,37185,41933,Y,Internal,59218,1576,Finance
48,48,Veda Prince,USER,Veda.rince@bnna.com,Female,Finance,Accounting,Accountant,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Asian,20994,36700,41813,Y,Internal,49794,339,Finance
49,49,Stacy Rocha,USER,Stacy. Rocha@bnna.com,Female,Finance,Corporate Finance,Financial Analyst,EMEA,UK,England,London,Contributor,N,FTE,3,B,Other,23603,40039,41865,Y,None,62067,1372,Finance
50,50,Anouk Petit,USER,Anouk. Petit@bnna.com,Male,Finance,Corporate Finance,Financial Analyst,APAC,Australia,New South Wales,Sydney,Contributor,N,FTE,3,B,White,27149,41029,41759,N,Recruiter,50172,1414,Finance
51,51,Kelly Huffman,USER,Kelly.uffman@bnna.com,Male,Finance,Accounting,Accounting Clerk,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Black or African American,19207,36373,41852,Y,None,49680,984,Finance
52,52,Abigail Kennedy,USER,Abigail. Kennedy@bnna.com,Female,Finance,Accounting,Accounting Clerk,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Asian,24268,35956,41800,Y,None,59302,1542,Finance
53,53,Steven Logan,USER,Steven.n Logan@bnna.com,Male,Finance,Corporate Finance,Financial Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Other,22848,36362,41841,Y,None,50915,517,Finance
54,54,Ashton Atkinson,USER,Ashton.tkinson@bnna.com,Male,Finance,Corporate Finance,Financial Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,3,C,White,19437,28568,41717,Y,None,58006,209,Finance
55,55,Stewart Gilbert,USER,Stewart. Gilbert@bnna.com,Male,Finance,Accounting,Accounting Clerk,EMEA,UK,England,London,Contributor,N,PTE,3,C,Black or African American,20136,36207,41686,Y,Internal,59155,1141,Finance
56,56,Sebastian Greer,USER,Sebastian.tian Greer@bnna.com,Male,Finance,Accounting,Accounting Clerk,APAC,Australia,New South Wales,Sydney,Contributor,N,FTE,3,C,Hispanic or Latino,26591,41566,41931,N,Recruiter,51862,1899,Finance
57,57,Adara Medina,USER,Adara.Medina@bnna.com,Female,Finance,Accounting,Accountant,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,28157,35827,41671,Y,None,14034,0,Finance
58,58,Thaddeus Saunders,USER,Thaddeus. Saunders@bnna.com,Male,Finance,Accounting,"Director, Consolidation",AMERICAS,USA,NY,New York,Senior Manager,Y,PTE,1,A,White,26679,40193,41654,Y,None,123315,66964,Finance
59,-,Jonathan Sway,USER,anthony.cafiero+3@qlik.com,Male,Human Resources,Talent Acquisition,Human Resources Analyst,-,USA,NY,New York,Contributor,N,FTE,3,D,White,27650,36782,41895,Y,Website,53029,1123,Human Resources
60,-,Thane Smith,USER,Thane. Smith@bnna.com,Male,Human Resources,Talent Acquisition,Human Resources Analyst,-,USA,NY,New York,Contributor,N,FTE,3,A,Hispanic or Latino,25389,39268,41825,Y,Website,62101,1733,Human Resources
61,-,Shelby Trujillo,USER,Shelby.rujillo@bnna.com,Female,Human Resources,Talent Acquisition,HR Recruiter,-,France,,Paris,Contributor,N,PTE,2,B,Unknown,27317,40466,41927,Y,Internal,35006,0,Human Resources
62,-,Melyssa Britt,USER,Melyssa.sa Britt@bnna.com,Female,Human Resources,Talent Acquisition,Human Resources Analyst,-,USA,NY,New York,Contributor,N,PTE,2,C,Black or African American,28483,35788,41997,Y,New Hire Program,37807,0,Human Resources
63,-,Javier Martinez,USER,Javier.artinez@bnna.com,Male,Human Resources,Talent Acquisition,HR Recruiter,-,Japan,Tokyo Metropolis,Tokyo,Contributor,N,PTE,2,B,Asian,23994,31664,41891,Y,New Hire Program,15021,0,Human Resources
64,-,Shad Snyder,USER,Shad.nyder@bnna.com,Male,Human Resources,Talent Acquisition,HR Recruiter,-,UK,England,London,Contributor,N,FTE,4,B,Other,19902,29399,41817,Y,Website,49955,8026,Human Resources
65,-,Hye-Yul Gang,USER,Hye-Yul.Yul Gang@bnna.com,Male,Human Resources,Talent Acquisition,HR Recruiter,-,Australia,New South Wales,Sydney,Contributor,N,PTE,2,B,Hispanic or Latino,26432,39215,41772,Y,Website,31986,0,Human Resources
66,-,Dalton Crawford,USER,Dalton.rawford@bnna.com,Male,Human Resources,Workforce Performance,"Director, Workforce Planning",-,USA,NY,New York,Manager,Y,FTE,7,D,White,19786,35492,41701,Y,Internal,144821,13225,Human Resources
67,-,Isabel Rios,USER,Isabel.el Rios@bnna.com,Female,Human Resources,Workforce Performance,HR Analyst,-,USA,NY,New York,Contributor,N,PTE,2,A,White,23480,30419,41742,Y,New Hire Program,21858,0,Human Resources
68,-,Leslie Sanchez,USER,Leslie.Sanchez@bnna.com,Female,Human Resources,Workforce Performance,HR Analyst,-,USA,NY,New York,Contributor,N,PTE,2,A,Black or African American,22011,37351,41734,Y,College Hire,26082,0,Human Resources
69,-,Andrew Samuel,USER,Andrew. Samuel@bnna.com,Male,Human Resources,Workforce Performance,HR Analyst,-,USA,NY,New York,Contributor,N,PTE,2,B,Asian,20923,35898,41742,Y,College Hire,14918,0,Human Resources
70,-,Arvid Ankarsvärd,USER,Arvid.rsvärd@bnna.com,Male,Human Resources,Workforce Performance,HR Analyst,-,USA,NY,New York,Contributor,N,PTE,2,B,Black or African American,32188,40224,41685,Y,College Hire,30140,0,Human Resources
71,-,Jack Forbes,USER,Jack.orbes@bnna.com,Male,Human Resources,Workforce Performance,HR Analyst,-,USA,NY,New York,Contributor,N,PTE,2,B,Other,23734,35422,41996,Y,College Hire,31743,0,Human Resources
72,-,Felix Kline,USER,Felix. Kline@bnna.com,Male,Human Resources,Workforce Performance,HR Manager,-,USA,NY,New York,Manager,Y,FTE,6,B,White,22887,38958,41880,Y,College Hire,99145,22866,Human Resources
73,-,Philippe Lavolier,USER,Philippe. Lavolier@bnna.com,Male,Human Resources,Benefits and Compensation,Benefits Analyst,-,USA,NY,New York,Contributor,N,FTE,3,B,White,23083,37693,41711,Y,College Hire,47726,944,Human Resources
74,-,Kenneth Cox,USER,Kenneth.neth Cox@bnna.com,Male,Human Resources,Benefits and Compensation,Benefits Analyst,-,USA,NY,New York,Contributor,N,FTE,3,B,White,28337,38564,41851,Y,Internal,62055,479,Human Resources
75,-,Cailin Wolf,USER,Cailin.in Wolf@bnna.com,Female,Human Resources,Benefits and Compensation,Benefits Analyst,-,USA,NY,New York,Contributor,N,FTE,3,C,Asian,23509,37388,41771,Y,Website,37778,1409,Human Resources
76,-,Akemi Takahashi,USER,Akemi.ahashi@bnna.com,Male,Human Resources,Benefits and Compensation,Benefits Manager,-,USA,NY,New York,Manager,Y,FTE,6,C,Other,24581,38461,41748,Y,Internal,110122,12991,Human Resources
77,-,Lee Rossi,USER,Lee.ossi@bnna.com,Male,Human Resources,Benefits and Compensation,Benefits Manager,-,USA,NY,New York,Manager,Y,FTE,6,C,White,22390,39191,41748,Y,Website,78369,20045,Human Resources
78,-,Darrel Mullen,USER,Darrel. Mullen@bnna.com,Female,Human Resources,HRMIS,HR Systems Analyst,-,USA,NY,New York,Contributor,N,FTE,3,B,Black or African American,21878,30644,41967,Y,Job Fair,57705,781,Human Resources
79,-,Alexander Schmuker,USER,Alexander.r Schmuker@bnna.com,Female,Human Resources,HRMIS,HR Systems Analyst,-,USA,NY,New York,Contributor,N,FTE,3,A,Other,22324,39490,41682,Y,Job Fair,38094,1308,Human Resources
80,80,Grazia Gallo,USER,Grazia.a Gallo@bnna.com,Male,Marketing,Marketing - Corporate,"Director, Marketing",AMERICAS,USA,NY,New York,Senior Manager,Y,FTE,3,D,Unknown,24031,35354,41928,Y,Job Fair,121445,26454,Marketing
81,81,Tanek Erickson,USER,Tanek.ickson@bnna.com,Male,Marketing,Marketing - Corporate,Marketing Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,6,B,White,23920,36338,41817,Y,Job Fair,80522,24344,Marketing
82,82,Tresa Seefelder,USER,Tresa.felder@bnna.com,Male,Marketing,Marketing - Corporate,Digital Marketing Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,6,B,Black or African American,20703,33486,41887,Y,Internal,120875,5121,Marketing
83,83,Talon Barrera,USER,Talon.arrera@bnna.com,Male,Marketing,Marketing - Corporate,Campaign Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,6,B,Hispanic or Latino,24947,38826,41748,Y,Internal,104139,19747,Marketing
84,84,Mollie Kline,USER,Mollie.e Kline@bnna.com,Female,Marketing,Marketing - Corporate,Social Media Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,6,B,Other,24374,41541,41906,N,Internal,86525,18800,Marketing
85,85,Henriëtte Bronsgeest,USER,Henriëtte.Bronsgeest@bnna.com,Female,Marketing,Marketing - Corporate,Product Marketing Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,6,B,White,20906,27846,41725,Y,Internal,111373,7859,Marketing
86,86,Colorado Fletcher,USER,Colorado. Fletcher@bnna.com,Male,Marketing,Marketing - Corporate,Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,1,A,Unknown,19312,27347,41957,Y,Internal,10770,0,Marketing
87,87,Constance Gould,USER,Constance.ance Gould@bnna.com,Female,Marketing,Marketing - Corporate,Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Asian,23668,40469,41930,Y,None,58617,425,Marketing
88,88,Kevyn Weaver,USER,Kevyn.Weaver@bnna.com,Female,Marketing,Marketing - Corporate,Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,Other,23193,37803,41821,Y,None,44793,2323,Marketing
89,89,Fonda Navarro,USER,Fonda.avarro@bnna.com,Female,Marketing,Marketing - Corporate,Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,26395,39178,41735,Y,None,15514,0,Marketing
90,90,Keane Rivers,USER,Keane.Rivers@bnna.com,Male,Marketing,Marketing - Corporate,Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,25682,40657,41753,Y,None,21486,0,Marketing
91,91,Rae Terry,USER,Rae.erry@bnna.com,Female,Marketing,Marketing - Corporate,Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,22163,39329,41886,Y,None,39237,0,Marketing
92,92,Adelma Ortiz,USER,Adelma.a Ortiz@bnna.com,Female,Marketing,Marketing - Corporate,Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,D,Other,25412,33813,41848,Y,None,34452,0,Marketing
93,93,Jordan Summers,USER,Jordan.Summers@bnna.com,Female,Marketing,Marketing - Corporate,Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,A,White,26539,37131,41879,Y,Internal,36741,0,Marketing
94,94,Gannon Mueller,USER,Gannon.Mueller@bnna.com,Male,Marketing,Marketing - Corporate,Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,A,Other,23961,40032,41858,Y,None,39750,0,Marketing
95,95,Carson Cervantes,USER,Carson.rvantes@bnna.com,Male,Marketing,Marketing - Corporate,Campaign Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Unknown,23781,35834,41678,Y,None,28937,0,Marketing
96,96,Karleigh Hall,USER,Karleigh.eigh Hall@bnna.com,Female,Marketing,Marketing - Corporate,Campaign Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,20749,33167,41933,Y,None,36008,0,Marketing
97,97,Pedro Arehandro,USER,Pedro.handro@bnna.com,Male,Marketing,Marketing - Corporate,Campaign Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Black or African American,26912,36774,41887,Y,Website,19474,0,Marketing
98,98,Jonathan Torres,USER,Jonathan.an Torres@bnna.com,Male,Marketing,Marketing - Corporate,Marketing Systems Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Hispanic or Latino,22228,39394,41951,Y,Website,22291,0,Marketing
99,99,Marilyn Davies,USER,Marilyn.n Davies@bnna.com,Female,Marketing,Marketing - Corporate,Marketing Systems Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Other,23327,33554,41955,Y,Internal,28291,0,Marketing
100,100,Caesar Cook,USER,Caesar.ar Cook@bnna.com,-,Marketing,Marketing - Corporate,Marketing Systems Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,21752,36362,41841,Y,New Hire Program,58101,2800,Marketing
101,101,Quincy Whitfield,USER,Quincy.itfield@bnna.com,Female,Marketing,Marketing - Corporate,Social Media Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,White,19893,36329,41808,Y,New Hire Program,35351,692,Marketing
102,102,Alexandre Thomas,USER,Alexandre.dre Thomas@bnna.com,Male,Marketing,Marketing - Corporate,Social Media Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,White,25655,39535,41726,Y,Website,64578,2918,Marketing
103,103,Zephania Hess,USER,Zephania.ania Hess@bnna.com,Male,Marketing,Marketing - Corporate,Social Media Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,White,22342,36221,41700,Y,Website,36347,1891,Marketing
104,104,Else Mörike,USER,Else.örike@bnna.com,Female,Marketing,Marketing - Corporate,Brand and Reputation Specialist,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,23878,39218,41775,Y,Internal,52720,1103,Marketing
105,105,Suresh Veloo,USER,Suresh.h Veloo@bnna.com,Male,Marketing,Marketing - Corporate,Digital Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,Black or African American,30588,39354,41911,Y,New Hire Program,44821,29,Marketing
106,106,Cathleen Kane,USER,Cathleen.leen Kane@bnna.com,Female,Marketing,Marketing - Corporate,Digital Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,D,Hispanic or Latino,24999,41070,41800,Y,College Hire,38838,1269,Marketing
107,107,Brandon Mendoza,USER,Brandon. Mendoza@bnna.com,Male,Marketing,Marketing - Corporate,Digital Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,3,A,Other,23476,30415,41738,Y,College Hire,48249,748,Marketing
108,108,Adam Garrison,USER,Adam.rison@bnna.com,Male,Marketing,Marketing - Corporate,Digital Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,3,B,White,25099,35691,41900,Y,College Hire,59734,336,Marketing
109,109,Paul Muller,USER,Paul.uller@bnna.com,Male,Marketing,Marketing - Corporate,Digital Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,PTE,3,C,Unknown,19262,30584,41907,Y,College Hire,40926,1370,Marketing
110,110,Lucas Nelson,USER,Lucas.Nelson@bnna.com,Male,Marketing,Marketing - Corporate,Digital Marketing Specialist,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,25693,39573,41764,Y,College Hire,49552,964,Marketing
111,111,Charlotte Barlow,USER,Charlotte.tte Barlow@bnna.com,Female,Marketing,Marketing - Field,Field Marketing Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,7,B,Black or African American,25573,41279,41644,Y,College Hire,122817,17893,Marketing
112,112,Sydnee Stanley,USER,Sydnee.Stanley@bnna.com,Female,Marketing,Marketing - Field,Field Marketing Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Hispanic or Latino,29272,36212,41691,Y,Internal,35112,0,Marketing
113,113,Griffin Horn,USER,Griffin.fin Horn@bnna.com,Male,Marketing,Marketing - Field,Field Marketing Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,1,D,Other,24403,36091,41935,Y,Website,32795,0,Marketing
114,114,Charity Beasley,USER,Charity. Beasley@bnna.com,Female,Marketing,Marketing - Field,Field Marketing Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,White,28164,38025,41678,Y,Internal,42704,854,Marketing
115,115,Carlotta Decoudreau,USER,Carlotta.ecoudreau@bnna.com,Male,Marketing,Marketing - Field,Field Marketing Analyst,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,White,29906,39768,41959,Y,Website,56879,1640,Marketing
116,116,Rachel Cline,USER,Rachel.l Cline@bnna.com,Female,Marketing,Marketing - Field,Field Marketing Analyst,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Unknown,27103,39522,41713,Y,Job Fair,38095,0,Marketing
